time,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,producer-service-4_throughput,producer-service-5_throughput,producer-service-6_throughput,producer-service-7_throughput,producer-service-8_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,producer-service-4_latency,producer-service-5_latency,producer-service-6_latency,producer-service-7_latency,producer-service-8_latency,average_latency
2021-05-05T20:51:47.000Z,768,1024,,,,,,,1792,104.359375,148.5546875,,,,,,,126.45703125
2021-05-05T20:51:48.000Z,31872,24117,9856,,,,,,65845,49.85761797188755,56.73060496745035,70.54038149350649,,,,,,59.042868144281464
2021-05-05T20:51:49.000Z,25984,20811,25217,13058,1056,,,,86126,45.359952278325125,53.01715438950555,49.55462584764246,72.25049777913922,80.24621212121212,,,,60.085688483164894
2021-05-05T20:51:50.000Z,20352,16770,21444,17920,13792,384,,,90662,522.2202240566038,511.2882528324389,507.0949449729528,527.0013392857143,453.31909802784224,192.03125,,,452.159184862592
2021-05-05T20:51:51.000Z,32256,23678,28160,24746,29184,15616,,,153640,299.2730344742063,337.93715685446404,380.0439275568182,331.9736523074436,306.03895970394734,161.29834784836066,,,302.76084645754
2021-05-05T20:51:52.000Z,19072,18816,17920,18902,22144,19968,11136,6725,134683,80.1492764261745,78.75260416666667,79.415234375,76.19072055867105,73.25582550578035,79.4463141025641,113.16998922413794,115.29040892193308,86.95879666011595
2021-05-05T20:51:53.000Z,19456,21760,22272,21120,18688,21248,17536,20923,163003,80.72466077302632,76.44540441176471,79.23024425287356,80.09995265151515,83.93252354452055,80.8410203313253,85.24846031021897,80.11489748124075,80.82964546956066
2021-05-05T20:51:54.000Z,21888,20096,21504,20480,18304,23424,23165,18176,167037,78.73245614035088,81.10220939490446,78.05431547619048,81.582666015625,84.53321678321679,74.29670423497268,71.37565292467085,83.85486355633803,79.19151056578364
2021-05-05T20:51:55.000Z,20736,19072,20608,19712,18304,20608,17667,20352,157059,83.97472993827161,83.86388422818791,81.96263586956522,80.05017248376623,89.54113854895105,79.88320069875776,87.81207901737703,83.48796187106919,83.82197533199324
2021-05-05T20:51:56.000Z,20884,19328,20608,17196,21888,21018,19712,21632,162266,81.38800038306837,78.54837541390728,81.33079386645963,88.0129099790649,82.38185307017544,84.67865638976116,81.90097402597402,82.82414940828403,82.63321406708685
