time,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,producer-service-4_throughput,producer-service-5_throughput,producer-service-6_throughput,producer-service-7_throughput,producer-service-8_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,producer-service-4_latency,producer-service-5_latency,producer-service-6_latency,producer-service-7_latency,producer-service-8_latency,average_latency
2021-05-05T21:12:11.000Z,,421,,,,,8910,,9331,,126.90973871733966,,,,,80.64141414141415,,103.77557642937691
2021-05-05T21:12:12.000Z,,13318,6433,,,,17027,14326,51104,,408.9500675777144,356.1162754546868,,,,611.7041169906619,535.9136534971381,478.1710283800503
2021-05-05T21:12:13.000Z,,11857,9473,7889,,,8102,9437,46758,,974.9554693430041,661.9505964319645,501.94650779566484,,,1139.9263144902493,1100.3186393981139,875.8195054917993
2021-05-05T21:12:14.000Z,498,3967,5858,7955,4275,3268,7658,5874,39353,289.14658634538154,1280.5439879001765,1113.7507681802663,1299.345945945946,509.76444444444445,340.23439412484703,1597.9943849569079,1741.8426966292134,1021.577901065898
2021-05-05T21:12:15.000Z,5012,7757,7793,8443,5592,8105,4566,5249,52517,782.669193934557,1972.3365992007218,1822.778519183883,1940.9696790240437,1401.2995350500714,705.2848858729179,1999.8320192728866,2187.51590779196,1601.58579241638
2021-05-05T21:12:16.000Z,9010,9538,8527,8079.000000000001,8092.000000000001,5591,7640,8947,65424,1202.0015538290788,1681.9694904592159,1876.7280403424415,2206.599826711227,1816.9315373208108,1063.876050795922,2153.550785340314,2401.1488767184533,1800.3507701896826
2021-05-05T21:12:17.000Z,5897,10105,8315,9755,8912,8195,8964,7601,67744,1348.8712904866882,1390.5109351806036,1620.1764281419123,2262.765556125064,2375.53657989228,1586.5882855399634,1941.931392235609,1987.5836074200763,1814.2455093777746
2021-05-05T21:12:18.000Z,6170,6196,9532,8289,6700,6112,9633,8890,61522,1692.8063209076174,1472.3190768237573,1599.0795216114143,2304.193388828568,2628.235671641791,1470.4962369109949,1506.650991383785,1900.9184476940382,1821.8374569752455
2021-05-05T21:12:19.000Z,8839,7653,6458,8326,8839,8758,9815,9850,68538,1495.3215295847947,1693.1364170913366,1578.6091669247446,2265.6628633197215,2829.0350718407058,1529.7752911623659,1476.9565970453389,1817.2242639593908,1835.71515011605
2021-05-05T21:12:20.000Z,8923,8360,9536,10868,8907,7466,8798,7526,70384,1270.877283424857,1639.1132775119618,1680.8769924496644,2161.6222856091276,2777.2169080498484,1276.4910259844628,1427.7799499886337,1651.7501993090618,1735.715990290952
2021-05-05T21:12:21.000Z,10311,5909,10209,10542,9287,9748,5900,8712,70618,1087.3439045679372,1714.3239126755795,1519.7835243412676,1905.0006640106242,2703.697318832777,1389.784263438654,1676.5306779661016,1838.6058310376493,1729.3837621088237
2021-05-05T21:12:22.000Z,9615,9576,10824,9802,7885,8674,9139,10725,76240,1100.6596983879356,1709.1200918964078,1383.4174057649668,1779.5408079983677,2586.5339251743817,1052.0654830528015,1892.944414049677,1812.9706293706295,1664.656556961896
2021-05-05T21:12:23.000Z,9404,10337,8664,9076,8161,7693,8465,7997,69797,1111.0768821777967,1350.7104575795686,1352.9890350877192,2044.4773027765536,2739.8480578360495,1372.9868711815936,1633.9995274660366,1547.300237589096,1644.1735464618016
2021-05-05T21:12:24.000Z,9261,8547,9594,10663,9774,7632,10449,9337,75257,1270.879494655005,1310.99648999649,1419.0666041275797,2112.407202475851,2719.1004706363824,1356.9249213836479,1429.795961336013,1689.574381492985,1663.5931907629943
2021-05-05T21:12:25.000Z,8975,9882,7443,5915,10193,9990,9943,9201,71542,1235.9877437325906,1349.376340821696,1471.8270858524788,2156.997125950972,2400.325909938193,1236.5267267267268,1446.1043950517953,1780.4959243560484,1634.7051565538127
2021-05-05T21:12:26.000Z,8750,8711,9821,7765,10820,8612,9879,7582,71940,1130.9794285714286,1262.7409023074274,1665.8446186742694,2422.4101738570507,2239.9236598890943,1178.4381096144914,1439.0446401457637,1735.1682933262991,1634.318728298228
2021-05-05T21:12:27.000Z,8246,7389,9382,8862,8457,8514,11183,10663,72696,1293.0288624787777,1602.8975504127757,1504.85621402686,2553.4600541638456,2250.992668795081,1290.1929762743716,1215.6674416525082,1824.1046609772109,1691.9000535976788
2021-05-05T21:12:28.000Z,8045.999999999999,7788,7408,9329,10127,6145,7411,10278,66532,1273.5533184190901,1781.138418079096,1586.8080453563714,2245.4243756029587,2419.9605016293076,1432.326281529699,1406.0863581163135,1473.7709671142245,1702.3835332308827
2021-05-05T21:12:29.000Z,11671,7293,9044,10568,10800,6678,8631,7157,71842,1014.8020735155513,1629.8760455231043,1709.3945157010173,2165.165499621499,2353.6306481481483,1543.5214135968854,1724.790985980767,1723.4310465278747,1733.076528576856
2021-05-05T21:12:30.000Z,8477,8653,11211,8824,6694,11025,11638,8948,75470,1204.6351303527192,1643.7675950537387,1398.2856123450183,2058.7506799637354,2280.423214819241,1321.5921995464853,1472.2433407802027,1899.682498882432,1659.9225339679463
