time,producer-service-1_throughput,producer-service-2_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,average_latency
2021-05-05T19:51:40.000Z,28732,28920,57652,624.333460949464,425.9026970954357,525.1180790224498
2021-05-05T19:51:41.000Z,29560,29217,58777,618.8773342354533,438.40726289489,528.6422985651716
2021-05-05T19:51:42.000Z,26985,29550,56535,647.036798221234,444.867986463621,545.9523923424275
2021-05-05T19:51:43.000Z,27718,29292,57010,663.6421458979725,420.263075242387,541.9526105701798
2021-05-05T19:51:44.000Z,28634,29639,58273,608.958650555284,414.47474611154223,511.7166983334131
2021-05-05T19:51:45.000Z,28196,27107,55303,641.6842459923394,467.46434500313575,554.5742954977376
2021-05-05T19:51:46.000Z,28554,27127,55681,637.7051201232752,470.1030707413278,553.9040954323015
2021-05-05T19:51:47.000Z,29548,26973,56521,619.6080953025586,455.68950431913396,537.6487998108463
2021-05-05T19:51:48.000Z,27592,27092,54684,604.9704624528849,479.0217038240071,541.996083138446
2021-05-05T19:51:49.000Z,28116,28202,56318,699.921966140276,436.6694915254237,568.2957288328498
2021-05-05T19:51:50.000Z,25165,29796,54961,656.2247963441288,439.6522016378037,547.9384989909663
2021-05-05T19:51:51.000Z,25532,31516,57048,728.1346153846154,396.7833798705419,562.4589976275786
2021-05-05T19:51:52.000Z,29365,26506,55871,621.5504171632896,455.5124877386252,538.5314524509574
2021-05-05T19:51:53.000Z,25629,29183,54812,693.6946818057669,419.5512455881849,556.6229636969758
2021-05-05T19:51:54.000Z,29248,29729,58977,643.9697073304158,451.2542298765515,547.6119686034837
2021-05-05T19:51:55.000Z,27151,27444,54595,654.3345733122169,464.15478793178835,559.2446806220026
2021-05-05T19:51:56.000Z,29984,28721,58705,610.4314967982924,441.3714355349744,525.9014661666334
2021-05-05T19:51:57.000Z,27518,27099,54617,631.0967366814449,454.53300859810327,542.8148726397741
2021-05-05T19:51:58.000Z,27902,30990,58892,659.1736076266934,424.15640529202966,541.6650064593615
2021-05-05T19:51:59.000Z,26970,31223,58193,674.8124212087505,404.40124267367,539.6068319412102
2021-05-05T19:52:00.000Z,29308,27938,57246,637.2341340248396,434.63053905075526,535.9323365377975
2021-05-05T19:52:01.000Z,24408,27886,52294,660.9411668305473,443.94624542781327,552.4437061291803
2021-05-05T19:52:02.000Z,29130,31044,60174,666.0776519052523,401.4323862904265,533.7550190978394
2021-05-05T19:52:03.000Z,26811,26138,52949,674.1843646264593,462.0559338893565,568.1201492579079
2021-05-05T19:52:04.000Z,32090.000000000004,26826,58916,559.4292926145216,477.9368523074629,518.6830724609922
2021-05-05T19:52:05.000Z,25810,29980,55790,696.9430065865944,436.5238492328219,566.7334279097081
2021-05-05T19:52:06.000Z,27278,32622,59900,664.1697705110346,368.071546808902,516.1206586599683
2021-05-05T19:52:07.000Z,30322,28825,59147,599.9473979288965,438.8684822202949,519.4079400745957
2021-05-05T19:52:08.000Z,29092,31067,60159,603.6583253128008,427.67203141597196,515.6651783643864
2021-05-05T19:52:09.000Z,25845,27303,53148,720.3240858966918,449.8429842874409,585.0835350920663
2021-05-05T19:52:10.000Z,26368,26337,52705,649.8600197208738,445.833769981395,547.8468948511344
2021-05-05T19:52:11.000Z,31219,30664,61883,634.4310836349658,435.027654578659,534.7293691068124
2021-05-05T19:52:12.000Z,31885,29923,61808,533.2886937431394,421.40577482204327,477.34723428259133
2021-05-05T19:52:13.000Z,31585,26453,58038,574.3570998891879,452.1411938154463,513.2491468523172
2021-05-05T19:52:14.000Z,26375,31158,57533,628.0131563981042,433.7567879838244,530.8849721909643
2021-05-05T19:52:15.000Z,33152,28922,62074,569.0064249517375,406.89008367332826,487.94825431253287
2021-05-05T19:52:16.000Z,32244.999999999996,30963,63208,579.1925259730191,422.68236282014016,500.9374443965796
2021-05-05T19:52:17.000Z,27079,34279,61358,632.3289634033753,341.48455322500655,486.90675831419094
2021-05-05T19:52:18.000Z,28602,30734,59336,606.5811481714566,418.77282488449276,512.6769865279747
2021-05-05T19:52:19.000Z,28255,29111,57366,656.6564147938418,394.467452165848,525.5619334798449
2021-05-05T19:52:20.000Z,31463,27346,58809,603.9108794456981,481.45688583339427,542.6838826395463
2021-05-05T19:52:21.000Z,31041,26416,57457,548.0518668857318,445.47391732283467,496.7628921042832
2021-05-05T19:52:22.000Z,31594,26462,58056,574.3231942773945,511.6793137329,543.0012540051473
2021-05-05T19:52:23.000Z,30804,24611,55415,581.3105765485002,485.43805615375237,533.3743163511263
2021-05-05T19:52:24.000Z,26707,32436,59143,651.9755120380424,422.16830065359477,537.0719063458187
2021-05-05T19:52:25.000Z,31518,29968,61486,633.4821054635446,386.82187666844635,510.1519910659955
2021-05-05T19:52:26.000Z,28718,32563.000000000004,61281,598.9392367156487,393.57503915486905,496.25713793525887
2021-05-05T19:52:27.000Z,30830,30667,61497,593.7979240999027,408.69716633514855,501.2475452175256
2021-05-05T19:52:28.000Z,28071,29809,57880,641.276976238823,411.0516287027408,526.1643024707819
2021-05-05T19:52:29.000Z,25469,27873,53342,636.4257332443362,466.6184479603918,551.522090602364
2021-05-05T19:52:30.000Z,29549,27854,57403,675.5484449558361,424.32336468729807,549.9359048215671
2021-05-05T19:52:31.000Z,30638,29179,59817,601.998335400483,441.34014188286096,521.669238641672
2021-05-05T19:52:32.000Z,34668,28279,62947,528.6715126341295,444.8276813182927,486.74959697621114
2021-05-05T19:52:33.000Z,30077,31995,62072,539.1850583502344,416.3537740271918,477.7694161887131
2021-05-05T19:52:34.000Z,29458,31773,61231,639.3127164098038,380.0235420010701,509.6681292054369
2021-05-05T19:52:35.000Z,23898,30289,54187,679.6587998995732,417.83442834032155,548.7466141199474
2021-05-05T19:52:36.000Z,25785,30516,56301,741.7051386464999,387.17174596932756,564.4384423079138
2021-05-05T19:52:37.000Z,26759,31951,58710,668.6204267723009,426.13398641670057,547.3772065945008
2021-05-05T19:52:38.000Z,27306,27551,54857,704.7892404599721,427.9447932924395,566.3670168762058
2021-05-05T19:52:39.000Z,28062,25825,53887,601.1469246668092,502.01266214908037,551.5797934079449
2021-05-05T19:52:40.000Z,27754,26691,54445,683.6867118253225,448.07961485144807,565.8831633383853
2021-05-05T19:52:41.000Z,28873,27474,56347,604.8558861219825,450.63900414937757,527.74744513568
2021-05-05T19:52:42.000Z,28780,28537,57317,636.2158790826963,462.7843851841469,549.5001321334216
2021-05-05T19:52:43.000Z,27299,24950,52249,647.73017326642,469.11699398797595,558.423583627198
2021-05-05T19:52:44.000Z,27590,29446,57036,697.7460674157303,461.6090131087414,579.6775402622359
2021-05-05T19:52:45.000Z,27803,30196,57999,658.1196993130238,394.32494370115245,526.2223215070882
2021-05-05T19:52:46.000Z,27572,27453,55025,631.1028579718555,478.2644155465705,554.683636759213
2021-05-05T19:52:47.000Z,32136.000000000004,26632,58768,579.4304207119741,476.1836136978072,527.8070172048906
2021-05-05T19:52:48.000Z,27449,26748,54197,622.4894895988925,456.30200388814114,539.3957467435168
2021-05-05T19:52:49.000Z,30119,28627,58746,602.4019721770311,453.70796800223565,528.0549700896333
2021-05-05T19:52:50.000Z,24765,31653,56418,714.1010700585504,383.1140808138249,548.6075754361876
2021-05-05T19:52:51.000Z,28372,29260,57632,665.5474411391513,444.7017088174983,555.1245749783247
2021-05-05T19:52:52.000Z,28180,26897,55077,632.5154009936125,434.13224523181026,533.3238231127114
2021-05-05T19:52:53.000Z,27757,28577,56334,652.9480491407572,454.5235329110823,553.7357910259198
2021-05-05T19:52:54.000Z,27954,26077,54031,624.0599556414109,500.30448287763164,562.1822192595213
2021-05-05T19:52:55.000Z,31117,30497,61614,572.708326638172,425.5646784929665,499.13650256556923
2021-05-05T19:52:56.000Z,29100,30040,59140,640.7169759450172,410.7868175765646,525.7518967607909
2021-05-05T19:52:57.000Z,27153,27533,54686,630.3221743453762,452.1523989394545,541.2372866424154
2021-05-05T19:52:58.000Z,26889,28313,55202,707.8030793261184,436.1891357327023,571.9961075294104
2021-05-05T19:52:59.000Z,26927,27513,54440,636.7496193411818,483.1774070439429,559.9635131925623
2021-05-05T19:53:00.000Z,26753,33630,60383,683.2213583523343,371.7165923282783,527.4689753403063
2021-05-05T19:53:01.000Z,32883,30640,63523,584.2332816348874,403.9689621409922,494.10112188793977
2021-05-05T19:53:02.000Z,26264,33819,60083,595.2857904355773,394.35885153316184,494.8223209843695
2021-05-05T19:53:03.000Z,30221,30645,60866,650.5449521855663,370.7546744982868,510.6498133419266
2021-05-05T19:53:04.000Z,35041,27161,62202,529.5395108587084,449.88814844814254,489.7138296534255
2021-05-05T19:53:05.000Z,32558,29766,62324,521.9178696480128,442.56520862729286,482.2415391376528
2021-05-05T19:53:06.000Z,28918,28713,57631,582.0289093298292,439.0689234841361,510.54891640698264
2021-05-05T19:53:07.000Z,26625,26425,53050,679.4498779342723,465.5268495742668,572.4883637542696
2021-05-05T19:53:08.000Z,28191,29165,57356,642.0222056684757,446.4182410423453,544.2202233554106
2021-05-05T19:53:09.000Z,30091,31448,61539,625.0570602505733,393.89503307046556,509.4760466605194
2021-05-05T19:53:10.000Z,29462,28462,57924,589.1564727445523,423.29857353664534,506.2275231405988
2021-05-05T19:53:11.000Z,25299,32058.999999999996,57358,703.3128582157398,393.0775757197667,548.1952169677533
2021-05-05T19:53:12.000Z,29922,27087,57009,625.9467950003342,444.9466533761583,535.4467241882462
2021-05-05T19:53:13.000Z,33934,29621,63555,553.9169564448636,438.5257756321529,496.2213660385082
2021-05-05T19:53:14.000Z,29961,34902,64863,565.8250058409266,379.04260500830895,472.43380542461773
2021-05-05T19:53:15.000Z,29659,27763,57422,631.1751576250042,432.6585383423982,531.9168479837012
2021-05-05T19:53:16.000Z,27721,25695,53416,617.149345261715,450.82805993383926,533.9887025977771
2021-05-05T19:53:17.000Z,26434,29356,55790,684.5619656502988,453.5705477585502,569.0662567044245
2021-05-05T19:53:18.000Z,24207,28776,52983,716.8049324575536,441.3688142896859,579.0868733736197
2021-05-05T19:53:19.000Z,27353,27600,54953,673.0932256059665,463.5401086956522,568.3166671508093
2021-05-05T19:53:20.000Z,30893,26681,57574,616.1022885443305,457.1152130729733,536.6087508086518
