time,producer-service-1_throughput,producer-service-2_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,average_latency
2021-05-05T19:30:52.000Z,24576,13312,37888,32.944254557291664,33.03898737980769,32.99162096854968
2021-05-05T19:30:53.000Z,50176,49152,99328,23.12043606505102,22.632893880208332,22.876664972629676
2021-05-05T19:30:54.000Z,48136,46080,94216,26.173820009971745,26.211111111111112,26.19246556054143
2021-05-05T19:30:55.000Z,49152,50432,99584,20.379923502604168,19.703660374365484,20.041791938484828
2021-05-05T19:30:56.000Z,51191,49920,101111,19.30923404504698,18.92189503205128,19.11556453854913
2021-05-05T19:30:57.000Z,47113,46848,93961,21.109757391802688,20.046768271857925,20.57826283183031
2021-05-05T19:30:58.000Z,48128,45312,93440,19.210999833776597,20.074748411016948,19.642874122396773
2021-05-05T19:30:59.000Z,51200,50176,101376,17.5455078125,18.295978156887756,17.920742984693877
2021-05-05T19:31:00.000Z,50176,49429,99605,18.484634088010203,18.77735742175646,18.63099575488333
2021-05-05T19:31:01.000Z,49152,47851,97003,18.246561686197918,18.951474368351757,18.599018027274838
2021-05-05T19:31:02.000Z,48128,50786,98914,18.121800199468087,17.408754381128656,17.76527729029837
2021-05-05T19:31:03.000Z,51200,51614,102814,17.3451171875,17.250997791296935,17.298057489398467
2021-05-05T19:31:04.000Z,52224,50176,102400,16.94217218137255,17.318777901785715,17.130475041579132
2021-05-05T19:31:05.000Z,51200,51200,102400,16.77552734375,16.79875,16.787138671875
2021-05-05T19:31:06.000Z,52224,53248,105472,16.13198912377451,16.035569411057693,16.0837792674161
2021-05-05T19:31:07.000Z,51200,51940,103140,16.30509765625,16.633904505198306,16.46950108072415
2021-05-05T19:31:08.000Z,53248,52508,105756,15.906419020432692,16.15995657804525,16.03318779923897
2021-05-05T19:31:09.000Z,48862,49152,98014,17.350231263558594,17.416585286458332,17.383408275008463
2021-05-05T19:31:10.000Z,50466,50176,100642,16.9120992351286,17.19142617984694,17.051762707487768
2021-05-05T19:31:11.000Z,54272,51200,105472,16.0123820754717,16.48150390625,16.246942990860852
2021-05-05T19:31:12.000Z,51200,53248,104448,16.4532421875,16.097637469951923,16.27543982872596
2021-05-05T19:31:13.000Z,50176,51190,101366,16.940987723214285,16.61588200820473,16.778434865709507
2021-05-05T19:31:14.000Z,52224,52742,104966,16.720473345588236,16.31189564294111,16.51618449426467
2021-05-05T19:31:15.000Z,53248,53380,106628,16.002892127403847,16.3505245410266,16.176708334215224
2021-05-05T19:31:16.000Z,53248,52608,105856,16.07068810096154,16.349737682481752,16.210212891721646
