time,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,producer-service-4_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,producer-service-4_latency,average_latency
2021-05-05T20:11:18.000Z,18547,3072,,,21619,42.21814848762603,73.14615885416667,,,57.682153670896355
2021-05-05T20:11:19.000Z,40845,34076,19449,1118,95488,38.30042844901457,41.54865594553351,54.979896138618955,91.47406082289804,56.57576033901627
2021-05-05T20:11:20.000Z,32384,33032,30855,27896,124167,46.695960968379445,44.90920925163478,46.71003078917517,52.00609406366504,47.58032376821361
2021-05-05T20:11:21.000Z,37504,45020,43904,43681,170109,283.89275810580205,247.9083962683252,246.79789996355686,263.6811199377304,260.57004356885363
2021-05-05T20:11:22.000Z,33024,35456,39936,34048,142464,37.17438832364341,35.46578858303249,32.41060697115385,37.12961113721804,35.54509875376195
2021-05-05T20:11:23.000Z,31362,33152,35584,33152,133250,36.56864995854856,37.3819679054054,34.30387252697842,36.59317688223938,36.21191681829294
2021-05-05T20:11:24.000Z,35454,33024,36224,35712,140414,36.47881762283522,37.103227955426355,34.33245914310954,35.2987791218638,35.80332096080873
2021-05-05T20:11:25.000Z,31996,35072,37632,35584,140284,33.81141392674084,32.25641537408759,30.40656887755102,31.025320368705035,31.874929636771125
2021-05-05T20:11:26.000Z,34007,35968,37888,34304,142167,34.25871144176199,32.27844194839858,31.421954180743242,32.779326026119406,32.68460839925581
2021-05-05T20:11:27.000Z,33965,35712,32896,36864,139437,32.56608273222435,32.803119399641574,31.68567607003891,30.925401475694443,31.99506991939982
2021-05-05T20:11:28.000Z,36480,33536,35840,34560,140416,30.13314144736842,31.717974713740457,30.338839285714286,32.43761574074074,31.156892796890975
2021-05-05T20:11:29.000Z,34816,38400,36864,35732,145812,30.243968290441178,29.15622395833333,29.342176649305557,29.55076681965745,29.57328392943438
2021-05-05T20:11:30.000Z,34432,38400,35584,32107.999999999996,140524,31.279042750929367,28.179791666666667,30.632447167266186,32.1759686059549,30.56681254770428
2021-05-05T20:11:31.000Z,10880,9600,9728,9344,39552,91.37729779411765,100.5990625,102.32709703947368,106.07405821917808,100.09437888819235
2021-05-05T20:11:32.000Z,37632,37760,36992,35497,147881,28.216943027210885,28.48461334745763,28.901762543252595,30.159112037636984,28.940607738889526
2021-05-05T20:11:33.000Z,36864,40960,38528,37079,153431,28.27663845486111,26.1767578125,27.343412583056477,28.798700072817496,27.648877230808772
2021-05-05T20:11:34.000Z,36835,38144,39424,34816,149219,29.663390796796524,28.710622902684563,27.105164366883116,29.424201516544116,28.72584489572708
2021-05-05T20:11:35.000Z,33778,38656,38400,35319,146153,31.494759902895375,29.71717197847682,29.719401041666668,29.480902630312297,30.10305888833779
2021-05-05T20:11:36.000Z,36907,38400,40730,37001,153038,28.20884926978622,26.799921875,25.945101890498403,28.570146752790464,27.381004947018774
2021-05-05T20:11:37.000Z,37888,38400,39142,42368,157798,26.241844383445947,25.882552083333334,26.071968729242247,24.251770203927492,25.612033849987256
2021-05-05T20:11:38.000Z,38912,39936,40239,37888,156975,27.60241056743421,26.865985576923077,25.779567086657224,26.33477618243243,26.645684853361736
2021-05-05T20:11:39.000Z,36864,41984,42705,43008,164561,27.497151692708332,25.51636337652439,24.84999414588456,24.418643043154763,25.570538064568012
2021-05-05T20:11:40.000Z,39936,38912,40832,38252,157932,26.321639623397434,25.96520353618421,25.562989811912225,26.83287148384398,26.17067611383446
2021-05-05T20:11:41.000Z,40960,40960,40064,38164,160148,25.228369140625,24.9936279296875,25.513902755591054,25.76718897390211,25.375772199951413
2021-05-05T20:11:42.000Z,40960,43008,39936,39296,163200,25.3097900390625,24.35400390625,24.513020833333332,25.113523004885995,24.822584445882956
2021-05-05T20:11:43.000Z,41905,41984,38912,38912,161713,24.770671757546832,25.330864138719512,25.74928042763158,26.086451480263158,25.48431695104027
2021-05-05T20:11:44.000Z,38991,40960,43648,39936,163535,25.510066425585393,24.4125,22.92471590909091,24.916240985576923,24.440880830063307
2021-05-05T20:11:45.000Z,39936,39936,39296,39936,159104,24.783278245192307,24.890474759615383,25.194574511400653,24.97283153044872,24.960289761664267
2021-05-05T20:11:46.000Z,38929,37888,43008,40960,160785,25.57124508721005,25.64178631756757,23.896600632440474,24.13896484375,24.812149220242024
2021-05-05T20:11:47.000Z,40943,40960,41984,38912,162799,24.613804557555625,24.5897216796875,24.522103658536587,24.99886924342105,24.681124784800193
2021-05-05T20:11:48.000Z,39936,38912,40422,41984,161254,24.896910056089745,24.97399259868421,24.202934045816633,24.427591463414632,24.625357041001305
2021-05-05T20:11:49.000Z,40960,37888,40474,42706,162028,24.597265625,25.31368771114865,23.62741513070119,23.991359527935185,24.38243199869626
2021-05-05T20:11:50.000Z,38400,39680,40960,39214,158254,27.186041666666668,26.17429435483871,26.411767578125,26.07698781047585,26.46227285252656
2021-05-05T20:11:51.000Z,39096,41216,40994,37888,159194,26.596020053202373,26.71559588509317,24.91096257988974,27.25514674831081,26.369431316624024
2021-05-05T20:11:52.000Z,33199,35570,34782,35031,138582,28.505195939636735,27.765701433792522,28.093812891725605,27.471468128229283,27.959044598346033
2021-05-05T20:11:53.000Z,21785,22798,24832,22569,91984,43.785907734679824,41.663435389069214,44.984656894329895,41.93207497009172,43.09151874704266
2021-05-05T20:11:54.000Z,27264,28032,28416,29312,113024,34.05652142018779,34.36001712328767,36.082172015765764,32.97963291484716,34.369585868522094
2021-05-05T20:11:55.000Z,39936,39168,40960,38912,158976,25.87099358974359,26.191814746732025,25.26611328125,25.763697574013158,25.773154797934694
2021-05-05T20:11:56.000Z,39168,40915,39936,40064,160083,26.35204758986928,25.411511670536477,26.641651642628204,25.796126198083066,26.050334275279255
2021-05-05T20:11:57.000Z,41728,40525,39896,39936,162085,23.746716832822084,24.476175200493522,24.941873872067376,23.585036057692307,24.18745049076882
2021-05-05T20:11:58.000Z,41856,41960,42024,39552,165392,23.786840596330276,24.63331744518589,24.392156862745097,25.318239279935273,24.53263854604913
2021-05-05T20:11:59.000Z,42112,43896,43101,42368,171477,24.01289418693009,23.847708219427737,24.133268369643396,24.969505287009063,24.24084401575257
2021-05-05T20:12:00.000Z,41856,40192,43939,44032,170019,23.933127866972477,24.734648686305732,24.191583786613258,23.686727834302324,24.136522043548446
2021-05-05T20:12:01.000Z,41647,42624,41984,40139,166394,24.12970922275314,24.52125563063063,23.82693407012195,24.091008744612473,24.142226917029546
2021-05-05T20:12:02.000Z,43473,40576,43008,40629,167686,24.49005129620684,25.070903982649842,22.98539806547619,24.506042481971004,24.26309895657597
2021-05-05T20:12:03.000Z,42294,38528,43008,40832,164662,23.913486546555067,25.007916320598007,23.154041108630953,24.575137147335422,24.162645280779863
2021-05-05T20:12:04.000Z,43722,41856,40960,40153,166691,23.80931796349664,23.419653096330276,23.8809326171875,24.596094936866486,23.926499653470223
2021-05-05T20:12:05.000Z,41984,41600,43776,40999,168359,23.659346417682926,23.33235576923077,22.715917397660817,23.303909851459792,23.252882359008577
2021-05-05T20:12:06.000Z,38441,40320,41178,40832,160771,26.493613589656878,25.419270833333332,24.915828840643062,26.009698275862068,25.709602884873835
2021-05-05T20:12:07.000Z,38359,42496,43302,40320,164477,25.617143304048593,23.31024096385542,23.639162163410465,25.064732142857142,24.407819643542904
2021-05-05T20:12:08.000Z,41210,40448,40704,41728,164090,24.2181266682844,25.626161985759495,24.444845715408807,24.14386023773006,24.60824865179569
2021-05-05T20:12:09.000Z,42758,40960,41497,40960,166175,24.16256606950746,23.52197265625,24.010434489240186,23.91064453125,23.90140443656191
2021-05-05T20:12:10.000Z,41893,42594,42215,44544,171246,24.888024252261715,23.605366953091984,24.275731375103636,22.5394216954023,23.827136068964908
2021-05-05T20:12:11.000Z,40027,41374,42368,42496,166265,25.232592999725185,24.7822303862329,24.48999244712991,24.101986069277107,24.651700475591273
2021-05-05T20:12:12.000Z,37888,34816,38689,35840,147233,27.67459353885135,28.773523667279413,28.224301481041124,29.002427455357143,28.418711535632255
2021-05-05T20:12:13.000Z,40960,39424,42463,42363,165210,24.734716796875,24.707183441558442,23.769516991262982,23.218256497415197,24.107418431777905
2021-05-05T20:12:14.000Z,39936,43392,41600,42501,167429,23.319761618589745,23.2548165560472,24.396923076923077,23.55128114632597,23.630695599471494
2021-05-05T20:12:15.000Z,26624,27776,28160,27776,110336,34.5107421875,35.092813940092164,32.85046164772727,35.707913306451616,34.540482770442765
2021-05-05T20:12:16.000Z,23552,23552,24511,22144,93759,41.95422894021739,37.02381963315217,40.211660070988536,38.09898843930636,39.322174270916115
2021-05-05T20:12:17.000Z,32800,34367,34369,35200,136736,27.222530487804878,25.84327989059272,26.257848642672176,25.747386363636362,26.267761346176535
2021-05-05T20:12:18.000Z,42976,42689,42372,40960,168997,24.245276433358153,24.11398720981986,24.32174549230624,24.5472900390625,24.307074793636687
2021-05-05T20:12:19.000Z,44032,40704,39901,41984,166621,22.188340297965116,23.44936615566038,23.584220946843438,22.751310022865855,22.993309355833695
2021-05-05T20:12:20.000Z,42024,43008,43551,40832,169415,22.76070816676185,23.826148623511905,23.768225758306354,24.969827586206897,23.831227533696755
2021-05-05T20:12:21.000Z,40920,41216,43136,40928,166200,23.899462365591397,25.14535617236025,23.257719770029674,23.500757427677872,23.950823933914794
2021-05-05T20:12:22.000Z,41984,41728,41344,41888,166944,23.600419207317074,24.128139378834355,24.450198335913313,24.659377387318564,24.209533577345823
2021-05-05T20:12:23.000Z,39936,41984,43648,41216,166784,23.941281049679485,22.94702743902439,22.872525659824046,23.521156832298136,23.320497745206513
2021-05-05T20:12:24.000Z,41984,41984,41984,41204,167156,22.927067454268293,22.864853277439025,23.251834032012194,22.6518784584021,22.923908305530404
2021-05-05T20:12:25.000Z,39091,43904,40960,41121,165076,24.494231408764165,22.784233782798832,24.21396484375,23.377690231268694,23.717530066645423
2021-05-05T20:12:26.000Z,42829,41472,43008,42603,169912,22.581148287375377,23.412302276234566,23.375348772321427,23.19491585099641,23.140928796731945
2021-05-05T20:12:27.000Z,40960,40669,44032,40960,166621,24.40361328125,24.05884088617866,22.481854106104652,24.3941162109375,23.8346061211177
2021-05-05T20:12:28.000Z,39808,43735,41365,44032,168940,23.3133038585209,22.83102778095347,24.511978725976068,22.964480377906977,23.405197685839354
2021-05-05T20:12:29.000Z,38912,42188,43009,40960,165069,25.44667454769737,23.170901678202334,23.146806482364155,23.8068115234375,23.892798557925342
2021-05-05T20:12:30.000Z,40576,43527,40554,40960,165617,23.45519518927445,23.416982562547386,23.95874636287419,23.59091796875,23.605460520861506
2021-05-05T20:12:31.000Z,42496,39801,41984,40960,165241,23.76658979668675,23.826763146654606,23.184213033536587,24.2914306640625,23.767249160235114
2021-05-05T20:12:32.000Z,43391,42408,40832,39808,166439,23.58922357170842,23.830975287681568,24.770768025078368,23.769594051446944,23.990140233978824
2021-05-05T20:12:33.000Z,40577,43224,42112,41940,167853,25.398871281760602,23.655862483805294,23.985087386018236,24.437052932761087,24.369218521086307
2021-05-05T20:12:34.000Z,35840,35840,35968,36499,144147,26.215597098214285,29.23641183035714,25.815919706405694,27.16016877174717,27.107024351681073
2021-05-05T20:12:35.000Z,38912,43008,43462,41369,166751,23.774619654605264,22.803083147321427,22.742004509686623,24.266818148855425,23.396631365117184
2021-05-05T20:12:36.000Z,39936,41730,41786,41088,164540,24.952398838141026,24.988928828181166,24.51222897621213,23.92654789719626,24.595026134932645
2021-05-05T20:12:37.000Z,39936,42238,42496,41984,166654,23.8291015625,23.888039206401817,22.56148814006024,23.15965605945122,23.359571242103318
