time,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,average_latency
2021-04-20T17:05:23.000Z,21770,2048,,23818,47.73086816720257,74.10400390625,,60.917436036726286
2021-04-20T17:05:24.000Z,34358,41897,23865,100120,455.3527562721928,458.51707759505456,293.19082338152106,402.35355241625615
2021-04-20T17:05:25.000Z,25572,23981,24108,73661,586.6103941811356,1162.2187565155748,436.6239007798241,728.4843504921781
2021-04-20T17:05:26.000Z,25084,22145,21341,68570,558.5577260405039,1098.7786859336193,524.1648938662668,727.1671019467967
2021-04-20T17:05:27.000Z,25431,23833,22729,71993,517.5371790334631,994.6057986824991,514.262308064587,675.4684285935164
2021-04-20T17:05:28.000Z,26769,25447,21533,73749,534.7213567933057,1004.0029080048729,455.97116054428085,664.8984751141531
2021-04-20T17:05:29.000Z,24413,26141,25324,75878,584.9593249498218,1052.4758425461919,441.6277839203917,693.0209838054685
2021-04-20T17:05:30.000Z,27220,22260,22415,71895,531.6171197648788,1066.5666217430369,490.2441222395717,696.1426212491625
2021-04-20T17:05:31.000Z,26755,23716,20957,71428,541.2009344047841,1006.1014083319278,505.7058739323376,684.3360722230165
2021-04-20T17:05:32.000Z,22392,25177,23541,71110,639.4264469453376,1079.6829248917663,439.61263327811054,719.5740017050715
2021-04-20T17:05:33.000Z,26408,21474,27736,75618,577.0016661617692,1106.4183663965725,408.23366743582346,697.2178999980551
2021-04-20T17:05:34.000Z,20152,24468,26952,71572,639.7547141722906,998.3351316004578,422.7021742356782,686.9306733361423
2021-04-20T17:05:35.000Z,26268,26974,23165,76407,590.4708390437033,1002.3521909987395,449.6392402331103,680.8207567585177
2021-04-20T17:05:36.000Z,21443,21655,23425,66523,599.9446905750128,1041.6426691295312,484.21528281750267,708.6008808406823
2021-04-20T17:05:37.000Z,25189,27219,25077,77485,563.0998451705109,1021.2881443109593,427.4572716034613,670.6150870283105
2021-04-20T17:05:38.000Z,26003,23233,22759,71995,564.6505403222706,984.4078250764,505.8176984929039,684.9586879638582
2021-04-20T17:05:39.000Z,22606,22653,22520,67779,645.8083694594355,1094.7690372136142,462.45421847246894,734.3438750485062
2021-04-20T17:05:40.000Z,23754,23364,22039,69157,548.2012713648228,1085.6931604177366,508.30259993647627,714.0656772396786
2021-04-20T17:05:41.000Z,25474,25779,25453,76706,625.4593310826725,976.9847938244308,423.24095391505915,675.2283596073875
2021-04-20T17:05:42.000Z,23033,24603,22954,70590,559.4720184083706,1041.5578994431573,457.87209201010717,686.3006699538784
2021-04-20T17:05:43.000Z,23345,24125,24169,71639,608.6537588348683,1035.5623626943004,481.9832843725433,708.7331353005707
2021-04-20T17:05:44.000Z,24303,23501,21684,69488,567.0224252149941,1002.2321603336028,500.3124884707619,689.8556913397862
2021-04-20T17:05:45.000Z,25259,24850,23519,73628,633.6782532958549,973.7232193158953,474.73009056507505,694.0438543922751
2021-04-20T17:05:46.000Z,23969,24979,24086,73034,599.3550419291585,1006.3691500860723,461.3083534003155,689.0108484718488
2021-04-20T17:05:47.000Z,21549,26327,23865,71741,610.8058378579052,1100.0568237930643,479.8799916195265,730.2475510901654
2021-04-20T17:05:48.000Z,25387,19449,20707,65543,594.071808405877,1089.7479561931204,486.1475346501183,723.3224330830386
2021-04-20T17:05:49.000Z,21851,24587,22759,69197,628.4623587021189,1029.8976288282427,486.81541368249924,715.0584670709536
2021-04-20T17:05:50.000Z,22618,25304,24143,72065,634.1259174109117,971.6981504900411,468.0954728078532,691.306513569602
2021-04-20T17:05:51.000Z,21758,24898,22721,69377,604.0354812023164,1092.3223552092538,451.04550856036263,715.8011149906442
2021-04-20T17:05:52.000Z,28385,22784,23927,75096,531.2360753919323,1028.4969276685392,450.54223262423204,670.0917452282346
2021-04-20T17:05:53.000Z,25432,25807,25093,76332,597.7738282478767,1039.1373270817994,460.0869963734906,698.9993839010555
2021-04-20T17:05:54.000Z,22831,23048,26398,72277,614.1297796855154,1101.7368535230823,401.8189635578453,705.8951989221476
2021-04-20T17:05:55.000Z,21681,21713,24431,67825,687.4215211475486,1082.6279187583475,465.9620973353526,745.3371790804163
2021-04-20T17:05:56.000Z,22131,22493,24375,68999,613.4620215986625,1148.7367180900724,475.40791794871797,745.868885879151
2021-04-20T17:05:57.000Z,23374,23168,21884,68426,595.7418499187131,1115.4977123618785,470.7792908060684,727.3396176955533
2021-04-20T17:05:58.000Z,25119,21859,21383,68361,639.4689279031809,1010.6581728349879,540.0110835710611,730.04606143641
2021-04-20T17:05:59.000Z,23590,26608,24111,74309,615.3367952522256,987.1968580877931,454.1453693334992,685.559674224506
2021-04-20T17:06:00.000Z,23578,23757,23733,71068,614.7422173212317,1118.785536894389,453.1596089832722,728.8957877329643
2021-04-20T17:06:01.000Z,23113,22661,22147,67921,543.1736252325531,1090.5063324654693,489.0033413103355,707.5610996694527
2021-04-20T17:06:02.000Z,25013,21765,24075,70853,617.4953024427298,1122.4849069607167,449.7397715472482,729.9066603168982
2021-04-20T17:06:03.000Z,23903,24381,22018,70302,572.5261264276451,1065.9259259259259,467.3422200018167,701.9314241184626
2021-04-20T17:06:04.000Z,24729,22331,25141,72201,562.3496299890817,959.1890197483319,471.7493735332723,664.4293410902286
2021-04-20T17:06:05.000Z,21217,27374,22302,70893,736.8985718998916,883.8181851391831,512.4852479598243,711.0673349996331
2021-04-20T17:06:06.000Z,21078,28674,23199,72951,609.8672075149445,1050.625793401688,428.2772533298849,696.2567514155058
