time,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,average_latency
2021-04-20T17:00:08.000Z,27321,27648,27648,82617,288.5265912667911,285.82743778935185,293.4835431134259,289.27919072318963
2021-04-20T17:00:09.000Z,45834,45056,44598,135488,625.2077497054588,634.0146928267045,624.5176465312346,627.9133630211327
2021-04-20T17:00:10.000Z,45629,45056,45363,136048,972.6384755309124,974.6600008877841,974.4423869673523,973.9136211286828
2021-04-20T17:00:11.000Z,47104,46080,46231,139415,1310.795261548913,1312.1641927083333,1312.443641712271,1311.8010319898392
2021-04-20T17:00:12.000Z,47104,48128,46964,142196,1653.5951086956522,1652.4715965757978,1655.0678391959798,1653.7115148224766
2021-04-20T17:00:13.000Z,47104,46080,47244,140428,2007.3161727241848,2007.9840060763888,2015.1064473795614,2010.1355420600448
2021-04-20T17:00:14.000Z,46547,47052,45056,138655,2338.3169484606956,2335.4464634872056,2331.7231223366475,2335.1621780948494
2021-04-20T17:00:15.000Z,47661,48004,47104,142769,2658.5863494261557,2660.2926006166153,2655.9487092391305,2658.2758864273005
2021-04-20T17:00:16.000Z,47184,45253,47104,139541,2978.2567607663614,2977.2150575652445,2974.479237432065,2976.650351921224
2021-04-20T17:00:17.000Z,48048,47083,46080,141211,3281.847236097236,3283.5774483359173,3285.262868923611,3283.5625177855886
2021-04-20T17:00:18.000Z,46080,47104,46080,139264,3580.7266493055554,3582.724227241848,3580.0154730902777,3581.155449879227
2021-04-20T17:00:19.000Z,47887,47104,48128,143119,3901.516069079291,3903.908096976902,3900.056204288564,3901.8267901149193
2021-04-20T17:00:20.000Z,46083,46778,47104,139965,4270.980383221578,4263.204540596007,4270.287321671196,4268.1574151629275
2021-04-20T17:00:21.000Z,47342,47430,47104,141876,4611.680558489291,4601.563377609108,4611.985500169837,4608.409812089412
2021-04-20T17:00:22.000Z,46630,47000,46080,139710,4934.076838944885,4930.697872340425,4934.506510416667,4933.093740567326
2021-04-20T17:00:23.000Z,46554,45369,45056,136979,5229.524251406969,5233.587383455663,5227.264692826705,5230.125442563112
2021-04-20T17:00:24.000Z,46080,47919,47104,141103,5513.847374131945,5511.054905152445,5511.27634595788,5512.059541747422
2021-04-20T17:00:25.000Z,46080,45958,46080,138118,5800.9902560763885,5793.373253840463,5798.424392361111,5797.5959674259875
2021-04-20T17:00:26.000Z,48128,48250,46080,142458,6142.557347074468,6139.76710880829,6143.6442274305555,6141.989561104438
2021-04-20T17:00:27.000Z,46080,47104,46080,139264,6545.315928819445,6547.475012737772,6548.409049479166,6547.066663678795
2021-04-20T17:00:28.000Z,47104,48128,48128,143360,6900.711701766304,6896.861348902926,6897.439681682181,6898.33757745047
2021-04-20T17:00:29.000Z,46843,47104,46080,140027,7249.444655551523,7245.2978515625,7245.0543836805555,7246.598963598193
2021-04-20T17:00:30.000Z,46341,48128,46622,141091,7579.137739798451,7577.125623337766,7573.363390673931,7576.542251270049
2021-04-20T17:00:31.000Z,46080,46080,47586,139746,7929.928190104167,7931.477387152778,7926.077459757072,7929.161012338005
2021-04-20T17:00:32.000Z,40960,41984,39678,122622,8236.857885742187,8234.6650390625,8234.2859519129,8235.26962557253
2021-04-20T17:00:33.000Z,46080,47104,46338,139522,8399.594878472222,8395.16404127038,8397.298826017523,8397.352581920042
2021-04-20T17:00:34.000Z,45098,44774,45772,135644,8665.249146303606,8663.731071604056,8661.009350694749,8663.329856200804
2021-04-20T17:00:35.000Z,46038,47386,46974,140398,8964.196555019766,8964.890094120627,8967.376953208157,8965.487867449518
2021-04-20T17:00:36.000Z,48128,47104,46518,141750,9271.530855219415,9271.332710597826,9274.119996560472,9272.327854125904
2021-04-20T17:00:37.000Z,47215,47104,47104,141423,9606.246447103675,9603.26267408288,9610.33980129076,9606.616307492439
2021-04-20T17:00:38.000Z,48771,48128,47104,144003,9964.5407516762,9962.07305518617,9965.677819293478,9964.097208718616
2021-04-20T17:00:39.000Z,45326,45647,45056,136029,10255.551383312006,10251.044537428528,10263.821022727272,10256.8056478226
2021-04-20T17:00:40.000Z,47104,48561,46080,141745,10541.02738620924,10542.02878853401,10545.573546006945,10542.876573583399
2021-04-20T17:00:41.000Z,48128,49152,47104,144384,10848.427775930852,10849.480733235678,10848.334578804348,10848.747695990292
2021-04-20T17:00:42.000Z,48128,48128,48128,144384,11162.105198636968,11162.24233294548,11162.409096575799,11162.252209386083
2021-04-20T17:00:43.000Z,47442,48128,47892,143462,11489.35034357742,11488.588223071809,11490.256681700494,11489.398416116574
2021-04-20T17:00:44.000Z,48814,48128,47340,144282,11826.509280124554,11830.444045046543,11827.8381495564,11828.263824909167
2021-04-20T17:00:45.000Z,48128,47104,46454,141686,12156.82602642952,12162.04294752038,12157.274637275585,12158.714537075162
2021-04-20T17:00:46.000Z,47809,47104,45337,140250,12519.52634441214,12512.84712550951,12515.797538434392,12516.057002785348
2021-04-20T17:00:47.000Z,47423,48128,46597,142148,12858.797798536574,12855.071933178191,12855.31150074039,12856.39374415172
2021-04-20T17:00:48.000Z,47104,48128,47315,142547,13203.298085088316,13202.21893700133,13203.198393744056,13202.905138611235
2021-04-20T17:00:49.000Z,49152,48973,46745,144870,13527.810221354166,13528.702917934372,13525.578628730345,13527.363922672963
2021-04-20T17:00:50.000Z,48128,47416,48128,143672,13843.40955369016,13848.968090939767,13845.507189162234,13845.961611264052
2021-04-20T17:00:51.000Z,50176,49019,48070,147265,14177.684490593112,14182.549276811033,14182.543311836904,14180.925693080348
2021-04-20T17:00:52.000Z,49152,49184,47868,146204,14517.621907552084,14514.80884027326,14513.228545165874,14515.219764330404
2021-04-20T17:00:53.000Z,49152,49120,48446,146718,14853.393086751303,14857.512907166123,14852.260826487223,14854.388940134884
2021-04-20T17:00:54.000Z,49152,47104,48128,144384,15183.46445719401,15187.936332370924,15190.917386968085,15187.439392177674
2021-04-20T17:00:55.000Z,47293,47104,47104,141501,15488.409510921278,15487.290782099184,15492.5498046875,15489.416699235988
2021-04-20T17:00:56.000Z,46915,47104,47104,141123,15779.510412448044,15772.703294836956,15773.849800441576,15775.354502575525
2021-04-20T17:00:57.000Z,49152,49152,48128,146432,16094.057576497396,16095.271260579428,16099.380173703457,16096.23633692676
2021-04-20T17:00:58.000Z,47742,45624,44403,137769,16375.912006199991,16377.464141679817,16381.466139675247,16378.28076251835
2021-04-20T17:00:59.000Z,47490,46536,45709,139735,16656.041777216255,16656.21370551831,16657.308713820035,16656.52139885153
2021-04-20T17:01:00.000Z,46810,46080,47104,139994,16934.235676137578,16935.205946180555,16936.000467051632,16935.147363123255
2021-04-20T17:01:01.000Z,46969,45056,46938,138963,17198.326130000638,17202.037730823864,17199.723166730582,17200.02900918503
2021-04-20T17:01:02.000Z,47533,48156,47270,142959,17470.546188963457,17468.568942603208,17473.237105986886,17470.78407918452
2021-04-20T17:01:03.000Z,48920,48100,49127,146147,17814.727555192152,17810.621975051974,17820.13471207279,17815.161414105638
2021-04-20T17:01:04.000Z,50203,49152,47728,147083,18163.49668346513,18164.75272623698,18164.799216392894,18164.34954203167
2021-04-20T17:01:05.000Z,49357,47462,46913,143732,18512.364791215026,18516.206565252203,18513.473067166884,18514.014807878037
2021-04-20T17:01:06.000Z,48128,48794,47633,144555,18888.7099609375,18885.32889289667,18886.188902651524,18886.74258549523
2021-04-20T17:01:07.000Z,49152,47242,48215,144609,19281.889485677082,19280.126476440455,19280.774489266827,19280.930150461456
2021-04-20T17:01:08.000Z,49152,47990,48128,145270,19647.416015625,19641.491477391122,19646.733813996012,19645.213769004044
2021-04-20T17:01:09.000Z,49257,48128,49152,146537,19960.964269037904,19958.10420129654,19962.252014160156,19960.4401614982
2021-04-20T17:01:10.000Z,49047,48128,47031,144206,20286.621342793645,20287.61959773936,20286.4407731071,20286.8939045467
2021-04-20T17:01:11.000Z,48128,47104,47177,142409,20579.121176861703,20579.631666100544,20580.8949488098,20579.88259725735
2021-04-20T17:01:12.000Z,49152,48534,47918,145604,20861.265563964844,20862.305249927886,20862.77745314913,20862.116089013954
2021-04-20T17:01:13.000Z,49934,49770,47314,147018,21167.94508751552,21163.116053847698,21166.655281734795,21165.905474366005
2021-04-20T17:01:14.000Z,47667,47459,48128,143254,21463.343843749346,21468.869381992878,21466.931017287236,21466.381414343152
2021-04-20T17:01:15.000Z,48831,49821,47104,145756,21778.54829923614,21778.047309367535,21780.177967900814,21778.924525501498
2021-04-20T17:01:16.000Z,46632,49152,48128,143912,22119.933736489966,22117.47393798828,22116.103245511968,22117.836973330075
2021-04-20T17:01:17.000Z,48735,50176,47104,146015,22439.327033959165,22445.156170280614,22445.393766983696,22443.29232374116
2021-04-20T17:01:18.000Z,47993,49152,47104,144249,22769.48038255579,22775.038350423176,22777.846021569294,22774.121584849418
2021-04-20T17:01:19.000Z,48128,49152,48128,145408,23093.432596409573,23095.75583902995,23093.928129155585,23094.37218819837
2021-04-20T17:01:20.000Z,47104,48128,47104,142336,23396.877186650814,23396.803794049203,23394.950704823368,23396.21056184113
2021-04-20T17:01:21.000Z,48978,48370,47104,144452,23692.22812283066,23690.079243332646,23693.575089164402,23691.96081844257
2021-04-20T17:01:22.000Z,47256,46862,47104,141222,24008.54027001862,24005.402458281762,24008.910219938858,24007.61764941308
2021-04-20T17:01:23.000Z,48150,48128,47893,144171,24302.146085150573,24297.29672955452,24297.212139561107,24298.884984755397
2021-04-20T17:01:24.000Z,45056,47887,46315,139258,24591.175559303978,24589.7992774657,24590.724322573682,24590.566386447783
2021-04-20T17:01:25.000Z,47104,47876,45056,140036,24920.879054857338,24918.550380148718,24917.02507990057,24918.818171635543
2021-04-20T17:01:26.000Z,47236,47258,45857,140351,25227.41021678381,25228.947247026957,25230.810410624334,25229.055958145036
2021-04-20T17:01:27.000Z,47996,47443,46303,141742,25552.657013084423,25557.305798537192,25555.280802539794,25555.08120472047
2021-04-20T17:01:28.000Z,48128,49039,48127,145294,25879.391393783244,25880.834988478557,25878.321274960002,25879.515885740602
2021-04-20T17:01:29.000Z,48726,48241,47105,144072,26215.303965028936,26217.004373872845,26211.593036832608,26214.633791911463
2021-04-20T17:01:30.000Z,47530,49152,48128,144810,26500.378518830214,26501.764200846355,26507.227331283244,26503.123350319936
2021-04-20T17:01:31.000Z,48128,48128,48557,144813,26811.10615442154,26811.132542386968,26809.252816277778,26810.49717102876
2021-04-20T17:01:32.000Z,50176,49152,48723,148051,27164.528798628828,27164.60809326172,27161.78552223796,27163.640804709503
2021-04-20T17:01:33.000Z,48128,48128,47104,143360,27482.736328125,27481.46521775266,27484.139797044838,27482.780447640835
2021-04-20T17:01:34.000Z,49152,48128,49152,146432,27803.413411458332,27800.48628656915,27806.178059895832,27803.359252641105
2021-04-20T17:01:35.000Z,48128,49045,47104,144277,28118.454350897606,28120.94029972474,28123.482209578804,28120.958953400386
2021-04-20T17:01:36.000Z,49152,48235,48128,145515,28412.17087809245,28413.860143049653,28411.45034075798,28412.493787300027
2021-04-20T17:01:37.000Z,49152,50176,47104,146432,28719.3745320638,28720.783561862245,28716.707349694294,28718.955147873447
